id,level1,level2,level3,level4,testscripts,processflow
N72,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Availability Check / Backorder Processing,,
N73,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Order Confirmation - Output (EDI/Print/E-mail),,
N74,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Customer Purchase Order Attachment,,
N75,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Order Amendment with Approval Process,,
N76,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Export Controls,,
N77,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Processing ,Customer down payment,,
N78,Order to Cash,MTO/ATO - Make/Assembly To Order,Production Planning Integration,Order BOM Processing,,
N79,Order to Cash,MTO/ATO - Make/Assembly To Order,Production Planning Integration,Production Order Processing,,
N80,Order to Cash,MTO/ATO - Make/Assembly To Order,Production Planning Integration,Goods Receipt post Production Confirmation,,
N81,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Delivery Processing w.r.t. Sales Order,,
N82,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Picking,,
N83,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Packing Processing,,
N84,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Picking / Packing List - Output (EDI/Print/E-mail),,
N85,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Goods Issue Processing,,
N86,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Goods Issue Cancellation,,
N87,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Quality Check and Quality Assurance,,
N88,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Stock removal processing,,
N89,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Advance Shipment Notification - Output (EDI/Print/E-mail),,
N90,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Export Controls,,
N91,Order to Cash,MTO/ATO - Make/Assembly To Order,Logistics,Warehouse Management system integration (internal / External),,
N92,Order to Cash,MTO/ATO - Make/Assembly To Order,Logistics,Transportation Planning and Processing,,
N93,Order to Cash,MTO/ATO - Make/Assembly To Order,Logistics,Update Logistics information (Carrier / Way-Bill No) ,,
N94,Order to Cash,MTO/ATO - Make/Assembly To Order,Logistics,Integration with Transporter Systems for Delivery Tracking,,
N95,Order to Cash,MTO/ATO - Make/Assembly To Order,Logistics,Shipment cost calculation and settlement,,
N96,Order to Cash,MTO/ATO - Make/Assembly To Order,Order Fulfilment,Proof of Delivery - Difference processing,,
N97,Order to Cash,MTO/ATO - Make/Assembly To Order,Billing & Invoicing,Processing Invoice List,,
N98,Order to Cash,MTO/ATO - Make/Assembly To Order,Billing & Invoicing,Pro forma invoice Processing,,
N99,Order to Cash,MTO/ATO - Make/Assembly To Order,Billing & Invoicing,Commercial invoice Processing,,
N100,Order to Cash,MTO/ATO - Make/Assembly To Order,Billing & Invoicing,Billing Document Cancellation,,
N101,Order to Cash,MTO/ATO - Make/Assembly To Order,Billing & Invoicing,Invoice - Output (EDI/Print/E-mail),,
N102,Order to Cash,MTO/ATO - Make/Assembly To Order,Billing & Invoicing,Debit Memo / Credit Memo Processing,,
N103,Order to Cash,MTO/ATO - Make/Assembly To Order,Billing & Invoicing,Accounts Receivables - Incoming Payment,,
N104,Order to Cash,MTO/ATO - Make/Assembly To Order,Billing & Invoicing,Revenue Recognition,,
N105,Order to Cash,CTO - Configure To Order,Quotation Management,Analyse Customer Requirement,LTI_OTC_Sales_CTO V2.pdf,LTI_OTC_Sales_CTO Visio V2.pdf
N106,Order to Cash,CTO - Configure To Order,Quotation Management,Customer Quotation Processing,,
N107,Order to Cash,CTO - Configure To Order,Quotation Management,Quotation - Product Configuration,,
N108,Order to Cash,CTO - Configure To Order,Quotation Management,Quotation - Costing / Pricing,,
N109,Order to Cash,CTO - Configure To Order,Quotation Management,Quotation - Price Approval Process,,
N110,Order to Cash,CTO - Configure To Order,Quotation Management,Quotation - Version Management,,
N111,Order to Cash,CTO - Configure To Order,Quotation Management,Quotation - Output (EDI/Print/E-mail),,
N112,Order to Cash,CTO - Configure To Order,Quotation Management,Quotation - Status Update (Win/Loss),,
N113,Order to Cash,CTO - Configure To Order,Order Processing ,Sales Order Creation w.r.t. Won Quotation,,
N114,Order to Cash,CTO - Configure To Order,Order Processing ,Credit Management,,
N115,Order to Cash,CTO - Configure To Order,Order Processing ,Tax Calculation - Interface with External system,,
N116,Order to Cash,CTO - Configure To Order,Order Processing ,Partner Processing,,
N117,Order to Cash,CTO - Configure To Order,Order Processing ,Plant Determination,,
N118,Order to Cash,CTO - Configure To Order,Order Processing ,Costing for Sales Document,,
N119,Order to Cash,CTO - Configure To Order,Order Processing ,Check and Transfer Product Configuration,,
N120,Order to Cash,CTO - Configure To Order,Order Processing ,Sales Order along with Product Configuration,,
N121,Order to Cash,CTO - Configure To Order,Order Processing ,Validate Configured BoM & Routing,,
N122,Order to Cash,CTO - Configure To Order,Order Processing ,Validate Costing and Pricing,,
N123,Order to Cash,CTO - Configure To Order,Order Processing ,Validate Variant Matching,,
N124,Order to Cash,CTO - Configure To Order,Order Processing ,Replacement of Sales Order Line Item - Product Variant,,
N125,Order to Cash,CTO - Configure To Order,Order Processing ,Order Confirmation - Output (EDI/Print/E-mail),,
N126,Order to Cash,CTO - Configure To Order,Order Processing ,Customer Purchase Order Attachment,,
N127,Order to Cash,CTO - Configure To Order,Order Processing ,Order Amendment with Approval Process,,
N128,Order to Cash,CTO - Configure To Order,Order Processing ,Export Controls,,
N129,Order to Cash,CTO - Configure To Order,Order Processing ,Customer down payment,,
N130,Order to Cash,CTO - Configure To Order,Production Planning Integration,Order BOM Processing,,
N131,Order to Cash,CTO - Configure To Order,Production Planning Integration,Production Order Processing,,
N132,Order to Cash,CTO - Configure To Order,Production Planning Integration,Goods Receipt post Production Confirmation,,
N133,Order to Cash,CTO - Configure To Order,Order Fulfilment,Delivery Processing w.r.t. Sales Order,,
N134,Order to Cash,CTO - Configure To Order,Order Fulfilment,Picking,,
N135,Order to Cash,CTO - Configure To Order,Order Fulfilment,Packing Processing,,
N136,Order to Cash,CTO - Configure To Order,Order Fulfilment,Picking / Packing List - Output (EDI/Print/E-mail),,
N137,Order to Cash,CTO - Configure To Order,Order Fulfilment,Goods Issue Processing,,
N138,Order to Cash,CTO - Configure To Order,Order Fulfilment,Goods Issue Cancellation,,
N139,Order to Cash,CTO - Configure To Order,Order Fulfilment,Quality Check and Quality Assurance,,
N140,Order to Cash,CTO - Configure To Order,Order Fulfilment,Stock removal processing,,
N141,Order to Cash,CTO - Configure To Order,Order Fulfilment,Advance Shipment Notification - Output (EDI/Print/E-mail),,
N142,Order to Cash,CTO - Configure To Order,Order Fulfilment,Export Controls,,
N143,Order to Cash,CTO - Configure To Order,Logistics,Warehouse Management system integration (internal / External),,
N144,Order to Cash,CTO - Configure To Order,Logistics,Transportation Planning and Processing,,
N145,Order to Cash,CTO - Configure To Order,Logistics,Update Logistics information (Carrier / Way-Bill No) ,,
N146,Order to Cash,CTO - Configure To Order,Logistics,Integration with Transporter Systems for Delivery Tracking,,
N147,Order to Cash,CTO - Configure To Order,Logistics,Shipment cost calculation and settlement,,
N148,Order to Cash,CTO - Configure To Order,Order Fulfilment,Proof of Delivery - Difference processing,,
N149,Order to Cash,CTO - Configure To Order,Billing & Invoicing,Processing Invoice List,,
N150,Order to Cash,CTO - Configure To Order,Billing & Invoicing,Pro forma invoice Processing,,
N151,Order to Cash,CTO - Configure To Order,Billing & Invoicing,Commercial invoice Processing,,
N152,Order to Cash,CTO - Configure To Order,Billing & Invoicing,Billing Document Cancellation,,
N153,Order to Cash,CTO - Configure To Order,Billing & Invoicing,Invoice - Output (EDI/Print/E-mail),,
N154,Order to Cash,CTO - Configure To Order,Billing & Invoicing,Debit Memo / Credit Memo Processing,,
N155,Order to Cash,CTO - Configure To Order,Billing & Invoicing,Accounts Receivables - Incoming Payment,,
N156,Order to Cash,CTO - Configure To Order,Billing & Invoicing,Revenue Recognition,,
N157,Order to Cash,ETO - Engineer To Order,Quotation Management,Analyse Customer Requirement,LTI_OTC_Sales_Project_ETO V2.pdf,LTI_OTC_Sales_Project_ETO Visio V2.pdf
N158,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation - Product Configuration,,
N159,Order to Cash,ETO - Engineer To Order,Quotation Management,Pre-Order Design,,
N160,Order to Cash,ETO - Engineer To Order,Quotation Management,Risk Evaluation,,
N161,Order to Cash,ETO - Engineer To Order,Quotation Management,Document / Drawing Attachments to Quotation,,
N162,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation - Costing / Pricing,,
N163,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation Preparations - Delivery Schedule,,
N164,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation Preparations - Documentation,,
N165,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation Preparations - Plant Determination,,
N166,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation - Price Approval Process,,
N167,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation - Approval,,
N168,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation - Version Management,,
N169,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation - Output (EDI/Print/E-mail),,
N170,Order to Cash,ETO - Engineer To Order,Quotation Management,Quotation - Status Update (Win/Loss),,
N171,Order to Cash,ETO - Engineer To Order,Order Processing ,Sales Order Creation w.r.t. Won Quotation,,
N172,Order to Cash,ETO - Engineer To Order,Order Processing ,Check and Transfer Product Configuration,,
N173,Order to Cash,ETO - Engineer To Order,Order Processing ,Credit Management,,
N174,Order to Cash,ETO - Engineer To Order,Order Processing ,Tax Calculation - Interface with External system,,
N175,Order to Cash,ETO - Engineer To Order,Order Processing ,Delivery Schedule / Shipping Instrucutions,,
N176,Order to Cash,ETO - Engineer To Order,Order Processing ,Plant Determination,,
N177,Order to Cash,ETO - Engineer To Order,Order Processing ,Order Confirmation - Output (EDI/Print/E-mail),,
N178,Order to Cash,ETO - Engineer To Order,Order Processing ,Customer Purchase Order Attachment,,
N179,Order to Cash,ETO - Engineer To Order,Order Processing ,Sales Order Blocks,,
N180,Order to Cash,ETO - Engineer To Order,Order Processing ,Order Amendment with Approval Process,,
N181,Order to Cash,ETO - Engineer To Order,Order Processing ,Order Maintainance,,
N182,Order to Cash,ETO - Engineer To Order,Document Management System Integration,Design & Drawing preparations,,
N183,Order to Cash,ETO - Engineer To Order,Document Management System Integration,Design & Drawing Submission to Customer & Approvals,,
N184,Order to Cash,ETO - Engineer To Order,Order Processing ,Export Controls,,
N185,Order to Cash,ETO - Engineer To Order,Order Processing ,Customer down payment,,
N186,Order to Cash,ETO - Engineer To Order,Project Management Integration,Create Project Structure with/without Reference to Sales Order,,
N187,Order to Cash,ETO - Engineer To Order,Project Management Integration,Project milestone linkage with Sales Order Items through WBS,,
N188,Order to Cash,ETO - Engineer To Order,Project Management Integration,Materials Procurement and Service Processing,,
N189,Order to Cash,ETO - Engineer To Order,Project Management Integration,Procurement via Subcontracting,,
N190,Order to Cash,ETO - Engineer To Order,Project Management Integration,Production Processing,,
N191,Order to Cash,ETO - Engineer To Order,Order Processing ,Delivery Processing (w.r.t. Sales Order / Project),,
N192,Order to Cash,ETO - Engineer To Order,Order Fulfilment,Goods Issue Processing,,
N193,Order to Cash,ETO - Engineer To Order,Order Fulfilment,Goods Issue Cancellation,,
N194,Order to Cash,ETO - Engineer To Order,Order Fulfilment,Quality Check and Quality Assurance,,
N195,Order to Cash,ETO - Engineer To Order,Order Fulfilment,Stock removal processing,,
N196,Order to Cash,ETO - Engineer To Order,Order Fulfilment,Advance Shipment Notification - Output (EDI/Print/E-mail),,
N197,Order to Cash,ETO - Engineer To Order,Order Fulfilment,Export Controls,,
N198,Order to Cash,ETO - Engineer To Order,Logistics,Warehouse Management system integration (internal / External),,
N199,Order to Cash,ETO - Engineer To Order,Logistics,Transportation Planning and Processing,,
N200,Order to Cash,ETO - Engineer To Order,Logistics,Update Logistics information (Carrier / Way-Bill No) ,,
N201,Order to Cash,ETO - Engineer To Order,Logistics,Integration with Transporter Systems for Delivery Tracking,,
N202,Order to Cash,ETO - Engineer To Order,Logistics,Shipment cost calculation and settlement,,
N203,Order to Cash,ETO - Engineer To Order,Order Fulfilment,Proof of Delivery - Difference processing,,
N204,Order to Cash,ETO - Engineer To Order,Project Management Integration,Milestone/ Activity Confirmation in Project,,
N205,Order to Cash,ETO - Engineer To Order,Project Management Integration,Billing Block Removal based on activity confirmation,,
N206,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Processing Invoice List,,
N207,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Pro forma invoice Processing,,
N208,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Commercial invoice Processing,,
N209,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Milestone Invoice Processing,,
N210,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Billing Document Cancellation,,
N211,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Invoice - Output (EDI/Print/E-mail),,
N212,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Debit Memo / Credit Memo Processing,,
N213,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Accounts Receivables - Incoming Payment,,
N214,Order to Cash,ETO - Engineer To Order,Billing & Invoicing,Revenue Recognition,,
N215,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order (Procurement Integration),Creation of Stock Transfer Purchase Requisition,LTI_OTC_Stock Transfer Order V2.pdf,LTI_OTC_Sales_STO V2.pdf
N216,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order (Procurement Integration),Conversion to Stock Transfer Purchase Order,,
N217,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Delivery Processing w.r.t. Stock Transfer Order,,
N218,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Picking,,
N219,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Packing Processing,,
N220,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Picking / Packing List - Output (EDI/Print/E-mail),,
N221,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Goods Issue Processing,,
N222,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Goods Issue Cancellation,,
N223,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Quality Check and Quality Assurance,,
N224,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Stock removal processing,,
N225,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Advance Shipment Notification - Output (EDI/Print/E-mail),,
N226,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order Fulfilment,Export Controls,,
N227,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Intercompany Billing,Intercompany Billing,,
N228,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order (Procurement Integration),Receive Advance Shipment Notification (ASN),,
N229,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order (Procurement Integration),Goods Receipt at Plant,,
N230,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Stock Transport Order (Procurement Integration),Goods Receipt Cancellation,,
N231,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Intercompany Billing,Intercompany Invoice Receipt & Processing,,
N232,Order to Cash,Stock Transfer Across Plant (Intracompany / Intercompany),Intercompany Billing,Intercompany Settlement,,
N233,Order to Cash,Intercompany Sales,Quotation Management,Analyse Customer Requirement,LTI_OTC_Sales_Intercompany V2.pdf,LTI_OTC_Sales_ICS Visio V2.pdf
N234,Order to Cash,Intercompany Sales,Quotation Management,Customer Quotation Processing,,
N235,Order to Cash,Intercompany Sales,Quotation Management,Quotation - Costing / Pricing,,
N236,Order to Cash,Intercompany Sales,Quotation Management,Quotation - Price Approval Process,,
N237,Order to Cash,Intercompany Sales,Quotation Management,Quotation - Version Management,,
N238,Order to Cash,Intercompany Sales,Quotation Management,Quotation - Output (EDI/Print/E-mail),,
N239,Order to Cash,Intercompany Sales,Quotation Management,Quotation - Status Update (Win/Loss),,
N240,Order to Cash,Intercompany Sales,Order Processing ,Sales Order Creation w.r.t. Won Quotation,,
N241,Order to Cash,Intercompany Sales,Order Processing ,Credit Management,,
N242,Order to Cash,Intercompany Sales,Order Processing ,Tax Calculation - Interface with External system,,
N243,Order to Cash,Intercompany Sales,Order Processing ,Partner Processing,,
N244,Order to Cash,Intercompany Sales,Order Processing ,Plant Determination (Intercompany),,
N245,Order to Cash,Intercompany Sales,Order Processing ,Availability Check / Backorder Processing,,
N246,Order to Cash,Intercompany Sales,Order Processing ,Order Confirmation - Output (EDI/Print/E-mail),,
N247,Order to Cash,Intercompany Sales,Order Processing ,Customer Purchase Order Attachment,,
N248,Order to Cash,Intercompany Sales,Order Processing ,Order Amendment with Approval Process,,
N249,Order to Cash,Intercompany Sales,Order Processing ,Export Controls,,
N250,Order to Cash,Intercompany Sales,Order Fulfilment,Delivery Processing w.r.t. Sales Order,,
N251,Order to Cash,Intercompany Sales,Order Fulfilment,Picking,,
N252,Order to Cash,Intercompany Sales,Order Fulfilment,Packing Processing,,
N253,Order to Cash,Intercompany Sales,Order Fulfilment,Picking / Packing List - Output (EDI/Print/E-mail),,
N254,Order to Cash,Intercompany Sales,Order Fulfilment,Goods Issue Processing,,
N255,Order to Cash,Intercompany Sales,Order Fulfilment,Goods Issue Cancellation,,
N256,Order to Cash,Intercompany Sales,Order Fulfilment,Quality Check and Quality Assurance,,
N257,Order to Cash,Intercompany Sales,Order Fulfilment,Stock removal processing,,
N258,Order to Cash,Intercompany Sales,Order Fulfilment,Advance Shipment Notification - Output (EDI/Print/E-mail),,
N259,Order to Cash,Intercompany Sales,Order Fulfilment,Export Controls,,
N260,Order to Cash,Intercompany Sales,Logistics,Warehouse Management system integration (internal / External),,
N261,Order to Cash,Intercompany Sales,Logistics,Transportation Planning and Processing,,
N262,Order to Cash,Intercompany Sales,Logistics,Update Logistics information (Carrier / Way-Bill No) ,,
N263,Order to Cash,Intercompany Sales,Logistics,Integration with Transporter Systems for Delivery Tracking,,
N264,Order to Cash,Intercompany Sales,Logistics,Shipment cost calculation and settlement,,
N265,Order to Cash,Intercompany Sales,Order Fulfilment,Proof of Delivery - Difference processing,,
N266,Order to Cash,Intercompany Sales,Billing & Invoicing,Processing Invoice List,,
N267,Order to Cash,Intercompany Sales,Billing & Invoicing,Pro forma invoice Processing,,
N268,Order to Cash,Intercompany Sales,Billing & Invoicing,Commercial invoice Processing,,
N269,Order to Cash,Intercompany Sales,Intercompany Billing,Intercompany Billing,,
N270,Order to Cash,Intercompany Sales,Billing & Invoicing,Billing Document Cancellation,,
N271,Order to Cash,Intercompany Sales,Billing & Invoicing,Invoice - Output (EDI/Print/E-mail),,
N272,Order to Cash,Intercompany Sales,Billing & Invoicing,Debit Memo / Credit Memo Processing,,
N273,Order to Cash,Intercompany Sales,Billing & Invoicing,Accounts Receivables - Incoming Payment,,
N274,Order to Cash,Intercompany Sales,Intercompany Billing,Intercompany Invoice Receipt & Processing,,
N275,Order to Cash,Intercompany Sales,Intercompany Billing,Intercompany Settlement,,
N276,Order to Cash,Third-Party Order Processing,Quotation Management,Analyse Customer Requirement,LTI_OTC_Sales_Third Party Sales V2.pdf,LTI_OTC_Sales_TPO Visio V2.pdf
N277,Order to Cash,Third-Party Order Processing,Quotation Management,Customer Quotation Processing,,
N278,Order to Cash,Third-Party Order Processing,Quotation Management,Quotation - Costing / Pricing,,
N279,Order to Cash,Third-Party Order Processing,Quotation Management,Quotation - Price Approval Process,,
N280,Order to Cash,Third-Party Order Processing,Quotation Management,Quotation - Version Management,,
N281,Order to Cash,Third-Party Order Processing,Quotation Management,Quotation - Output (EDI/Print/E-mail),,
N282,Order to Cash,Third-Party Order Processing,Quotation Management,Quotation - Status Update (Win/Loss),,
N283,Order to Cash,Third-Party Order Processing,Order Processing ,Sales Order Creation w.r.t. Won Quotation,,
N284,Order to Cash,Third-Party Order Processing,Order Processing ,Credit Management,,
N285,Order to Cash,Third-Party Order Processing,Order Processing ,Tax Calculation - Interface with External system,,
N286,Order to Cash,Third-Party Order Processing,Order Processing ,Partner Processing,,
N287,Order to Cash,Third-Party Order Processing,Order Processing ,Plant Determination,,
N288,Order to Cash,Third-Party Order Processing,Order Processing ,Availability Check / Backorder Processing,,
N289,Order to Cash,Third-Party Order Processing,Order Processing ,Order Confirmation - Output (EDI/Print/E-mail),,
N290,Order to Cash,Third-Party Order Processing,Order Processing ,Customer Purchase Order Attachment,,
N291,Order to Cash,Third-Party Order Processing,Order Processing ,Order Amendment with Approval Process,,
N292,Order to Cash,Third-Party Order Processing,Order Processing ,Export Controls,,
N293,Order to Cash,Third-Party Order Processing,Procurement Integration,Creation of Purchase Requisition,,
N294,Order to Cash,Third-Party Order Processing,Procurement Integration,Conversion to Purchase Order,,
N295,Order to Cash,Third-Party Order Processing,Procurement Integration,Receive Advance Shipment Notification (ASN),,
N296,Order to Cash,Third-Party Order Processing,Procurement Integration,Goods dispatch confirmation,,
